symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
MMM,20190621,130.0,P,37,768,175.21,100,9720,172.79,259.77,51.66,41.589999999999975,17.629744147860098,139.95051170427982,228.09923244358032,315751693,0.11,109.73999999999069,0.9888237061556655,1,0.16,1.4382890271355133,1
MMM,20190621,125.0,P,37,768,175.21,100,9720,172.79,259.77,51.66,41.589999999999975,17.629744147860098,139.95051170427982,228.09923244358032,315751688,0.1,92.48999999999069,1.0665871840053907,1,0.15000000000000002,1.599880776008086,1
MO,20190607,40.0,P,23,334,51.965,100,9769,42.4,74.38,13.31000000000001,9.920000000000002,2.6401372941074484,46.68472541178511,59.885411882322344,365423390,0.09,43.38999999999942,3.291682114692871,9,0.14,5.120394400633355,1
MO,20190531,40.0,P,16,334,51.965,100,9769,42.4,74.38,13.140000000000008,8.009999999999998,1.8126246446777379,48.33975071064453,57.40287393403322,360782839,0.08,40.069999999992426,4.554529573247679,9,0.13,7.401110556527478,1
MO,20190524,40.0,P,9,334,51.965,100,9769,42.4,74.38,11.920000000000009,7.270000000000003,1.6758449608192338,48.613310078361536,56.992534882457704,360619095,0.04,35.979999999995925,4.508677660429144,9,0.09,10.144524735965572,9
MRK,20190621,52.5,P,37,501,77.6,100,70101545,52.83,83.85,11.61999999999999,14.090000000000003,3.1813021122026446,71.2373957755947,87.14390633660793,302455608,0.02,32.27999999999884,0.611206001540596,6,0.07,2.1392210053920864,6
MRK,20190621,50.0,P,37,501,77.6,100,70101545,52.83,83.85,11.61999999999999,14.090000000000003,3.1813021122026446,71.2373957755947,87.14390633660793,302455607,0.01,25.769999999989523,0.38280422448074797,6,0.07,2.679629571365236,6
MS,20190628,35.0,P,44,287,44.045,100,2841574,36.74,59.38,10.21,9.36,2.5729940439995516,38.8990119120009,51.76398213199866,365809929,0.15,41.95999999999185,2.965486610625413,11,0.2,3.953982147500551,1
MS,20190621,36.0,P,37,287,44.045,100,2841574,36.74,59.38,10.21,9.399999999999999,2.5729940439995516,38.8990119120009,51.76398213199866,335012317,0.15,47.259999999994754,3.1310404776341385,11,0.2,4.174720636845518,1
MS,20190621,35.0,P,37,287,44.045,100,2841574,36.74,59.38,10.21,9.399999999999999,2.5729940439995516,38.8990119120009,51.76398213199866,308662324,0.11,41.139999999999425,2.6376644023703215,11,0.16,3.836602767084104,1
